This is an example csv file
The next line is the header
id,first,second,last
78,0.0660924327,8422,3
61,,2738,9
72,0.1293063466,,10
100,-0.2420789913,,1
67,0.3155480867,281,10
8,-0.1502530641,1922,5
47,0.2558468097,4127,8
83,0.0621500804,5665,2
61,0.3435475684,5749,1
39,-0.4112229596,,2
4,-0.1918785436,5294,6
1,-0.001143603,8633,8
95,-0.4833922121,66,5
20,-0.1849014863,5137,10
98,0.0794523311,7711,5
50,0.2539343121,2821,5
27,0.1564988729,6472,4
77,-0.0555970213,3713,5
81,0.0319010346,2725,6
83,0.0344326331,4453,1
43,0.261839402,8560,5
27,-0.04726742,2535,7
81,0.105755639,8836,2
96,-0.1572635386,3629,3
1,-0.1759201422,3768,6
5,-0.2537722458,6147,2
18,0.3867226064,1502,4
82,-0.1785799285,5724,3
78,0.2195818515,2948,5
44,0.59556228,6851,3
58,0.1192310722,9632,3
60,-0.1379136248,7465,1
61,-0.0733180119,6097,8
5,-0.5817297839,9398,8
8,0.3057643967,7982,1
63,-0.0694218766,8003,1
35,-0.1982800956,9476,8
65,0.1833602509,7380,5
30,0.04069432,7590,8
40,0.3557881936,1607,2
56,-0.2169737949,1505,8
76,0.2784317562,4159,8
63,-0.0789794088,417,10
64,-0.2654725237,2793,2
10,0.2439933616,3840,2
39,0.2375489457,6323,8
76,-0.1871236905,1091,7
90,0.0504028349,8948,4
31,0.1555325399,4200,5
11,0.3142497256,5277,8
1,0.3953119573,5161,6
48,0.2344710194,9267,4
60,0.1212431214,9338,7
41,0.1623180197,8201,7
44,0.3360711251,2731,4
24,-0.4758851428,7033,4
71,0.0750520514,8788,10
26,0.390866264,1041,4
85,-0.0983225128,519,8
4,-0.2078893226,1620,2
26,0.0012191564,4163,8
30,-0.0239463705,4728,7
29,-0.1620444471,70,10
48,-0.0446207688,7554,8
21,-0.0146290159,4772,9
25,0.0101775364,8233,6
82,-0.1697170874,3098,1
94,0.5578677463,148,2
23,0.1016434447,2905,9
71,0.2186946643,2061,6
60,-0.2074741997,2802,5
74,0.1426834217,6982,5
6,0.1070574182,5255,4
95,-0.0013091971,3130,6
41,-0.577011586,3309,5
38,0.3772611534,827,10
14,0.4570035387,4614,5
29,0.0844839495,5312,4
76,-0.1962779186,7497,8
62,-0.3109127204,2736,5
80,-0.4554822132,3009,8
4,-0.0952681933,7726,10
14,-0.1114651548,4056,6
48,0.1824144404,3105,2
76,0.031525918,5265,10
67,-0.2334529776,6494,5
43,0.2341207731,3711,5
43,0.1666064564,1956,9
85,0.099792153,1359,1
70,0.1188063206,885,4
94,-0.161687255,1445,7
66,0.1868669366,8021,8
15,0.5799163401,6597,7
64,0.5880309089,43,1
83,0.1835577377,3839,5
24,-0.1064392526,7388,8
14,-0.9232025025,5445,3
26,-0.1555764259,9162,8
94,0.0563141302,9474,9
33,0.4746287813,9848,4
